flat,school,school_dist,num_school_2km,hawker,hawker_dist,num_hawker_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_central
302 UBI AVE 1,Maha Bodhi School,0.21491964086911783,5,Blk 4A Eunos Crescent,1.1811314063219138,9,UBI MRT STATION,0.21514726567694614,10,0.11748469752464864,20,7.539204145193386
101A LOR 2 TOA PAYOH,Kheng Cheng School,0.2639010545017857,13,Blk 93 Toa Payoh Lorong 4,0.28725140669832244,6,BRADDELL MRT STATION,0.09622303249338114,7,0.7496077969892806,15,6.167270818382134
689A WOODLANDS DR 75,Greenwood Primary School,0.5984002608547327,18,Chong Pang Market & Food Centre,2.6479643739558347,0,ADMIRALTY MRT STATION,0.8780364095516969,2,0.2742681297300181,19,18.370593391687027
658C JURONG WEST ST 65,Frontier Primary School,0.09142157643887854,16,Taman Jurong Market & Food Centre,2.355161530952935,0,PIONEER MRT STATION,0.35643255953988795,2,0.5575194304530492,8,17.783475560087727
650A JURONG WEST ST 61,Jurong Primary School,0.25974906318670676,14,Blk 505 Jurong West Street 52,2.7203090555663447,0,PIONEER MRT STATION,0.06953895269112705,2,0.39522885630276067,9,18.201384638090293
430 ANG MO KIO AVE 3,Jing Shan Primary School,0.33763464703050966,9,Blk 409 Ang Mo Kio Ave 10,0.7469218761251454,4,ANG MO KIO MRT STATION,0.3718276293024307,3,0.3996818400040764,13,9.385398483148796
356 BT BATOK ST 31,Dazhong Primary School,0.43812225689956746,8,Market Street Food Centre,2.499387657665802,0,BUKIT GOMBAK MRT STATION,0.36969181062530015,6,0.3086725418339869,15,14.117124847614246
539 BT PANJANG RING RD,West View Primary School,0.33704903961769606,12,Bukit Timah Market,4.999989671251596,0,SENJA LRT STATION,0.09965182730587281,14,0.35503464778998944,11,14.68735811075149
315 UBI AVE 1,Maha Bodhi School,0.21565776807683018,7,Blk 4A Eunos Crescent,1.0045425467802267,5,UBI MRT STATION,0.44854113942539964,10,0.1544815555867856,16,7.630557187476332
706 CHOA CHU KANG ST 53,Kranji Primary School,0.396397590424758,13,Market Street Food Centre,5.276875757173352,0,CHOA CHU KANG MRT STATION,0.6194525398830533,9,0.45945822485006615,11,16.5364489823059
213A COMPASSVALE LANE,Seng Kang Primary School,0.38718471079292704,24,Kovan Market & Food Centre,3.3476346363354472,0,KANGKAR LRT STATION,0.2970214640028171,16,0.1793506281082907,15,12.485808477930602
