,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,KOVAN HOUGANG MARKET AND FOOD CENTRE,209,HOUGANG STREET 21,KOVAN HOUGANG MARKET AND FOOD CENTRE,209 HOUGANG STREET 21 KOVAN HOUGANG MARKET AND FOOD CENTRE SINGAPORE 530209,530209,33869.7587915771,37907.6504119337,1.35909726707661,103.886062250482,103.886062250482,Kovan Market & Food Centre
0,MARKET & HAWKER CENTRE (BLK 11 TELOK BLANGAH CRESCENT),11,TELOK BLANGAH CRESCENT,MARKET & HAWKER CENTRE (BLK 11 TELOK BLANGAH CRESCENT),11 TELOK BLANGAH CRESCENT MARKET & HAWKER CENTRE (BLK 11 TELOK BLANGAH CRESCENT) SINGAPORE 090011,090011,26366.5807568962,28870.2666161656,1.27736689793888,103.818641701907,103.818641701907,Blk 11 Telok Blangah Crescent
0,HAWKER CENTRE (BLK 75 TOA PAYOH LORONG 5),75,LORONG 5 TOA PAYOH,HAWKER CENTRE (BLK 75 TOA PAYOH LORONG 5),75 LORONG 5 TOA PAYOH HAWKER CENTRE (BLK 75 TOA PAYOH LORONG 5) SINGAPORE 310075,310075,30189.548020984,35352.4153614715,1.33598912959849,103.852992935608,103.852992935608,Blk 75 Toa Payoh Lorong 5
0,MARKET & HAWKER CENTRE (BLK 4A EUNOS CRESCENT),4A,EUNOS CRESCENT,MARKET & HAWKER CENTRE (BLK 4A EUNOS CRESCENT),4A EUNOS CRESCENT MARKET & HAWKER CENTRE (BLK 4A EUNOS CRESCENT) SINGAPORE 402004,402004,35903.0048771361,33622.1879328936,1.32034062426809,103.904331189796,103.904331189796,Blk 4A Eunos Crescent
0,MAXWELL ROAD FOOD CENTRE,1,KADAYANALLUR STREET,MAXWELL ROAD FOOD CENTRE,1 KADAYANALLUR STREET MAXWELL ROAD FOOD CENTRE SINGAPORE 069184,069184,29241.5975396195,29220.8985670786,1.28053790831336,103.844474807265,103.844474807265,Maxwell Food Centre
1,UOB MAXWELL FOOD CENTRE,1,KADAYANALLUR STREET,UOB MAXWELL FOOD CENTRE,1 KADAYANALLUR STREET UOB MAXWELL FOOD CENTRE SINGAPORE 069184,069184,29271.9157984583,29198.0670940131,1.28033142727315,103.844747227479,103.844747227479,Maxwell Food Centre
2,MAXWELL FOOD CENTRE,1,KADAYANALLUR STREET,MAXWELL FOOD CENTRE,1 KADAYANALLUR STREET MAXWELL FOOD CENTRE SINGAPORE 069184,069184,29270.3893235028,29197.9362757877,1.28033024426041,103.844733511515,103.844733511515,Maxwell Food Centre
0,DBS BERSEH FOOD CENTRE,166,JALAN BESAR,DBS BERSEH FOOD CENTRE,166 JALAN BESAR DBS BERSEH FOOD CENTRE SINGAPORE 208877,208877,30623.1447876785,32184.9995951913,1.30734410918998,103.856888783497,103.856888783497,Berseh Food Centre
1,BERSEH FOOD CENTRE,166,JALAN BESAR,BERSEH FOOD CENTRE,166 JALAN BESAR BERSEH FOOD CENTRE SINGAPORE 208877,208877,30619.2721505016,32184.1622919589,1.30733653724361,103.85685398594,103.85685398594,Berseh Food Centre
0,MARKET & HAWKER CENTRE (BLK 353 CLEMENTI AVE 2),353,CLEMENTI AVENUE 2,MARKET & HAWKER CENTRE (BLK 353 CLEMENTI AVE 2),353 CLEMENTI AVENUE 2 MARKET & HAWKER CENTRE (BLK 353 CLEMENTI AVE 2) SINGAPORE 120353,120353,21055.5871404577,32962.9760067426,1.31437917978955,103.770919561136,103.770919561136,Blk 353 Clementi Ave 2
0,SEMBAWANG HILLS FOOD CENTRE,590,UPPER THOMSON ROAD,SEMBAWANG HILLS FOOD CENTRE,590 UPPER THOMSON ROAD SEMBAWANG HILLS FOOD CENTRE SINGAPORE 574419,574419,27518.750928604,39376.8743230663,1.37238497911777,103.828994212687,103.828994212687,Sembawang Hill Food Centre
0,MARKET & HAWKER CENTRE (BLK 320 SHUNFU ROAD),320,SHUNFU ROAD,MARKET & HAWKER CENTRE (BLK 320 SHUNFU ROAD),320 SHUNFU ROAD MARKET & HAWKER CENTRE (BLK 320 SHUNFU ROAD) SINGAPORE 570320,570320,28413.2464859849,37123.6313303821,1.3520074540159,103.837031862103,103.837031862103,Blk 320 Shunfu Road
0,ADAM ROAD FOOD CENTRE,2,ADAM ROAD,ADAM ROAD FOOD CENTRE,2 ADAM ROAD ADAM ROAD FOOD CENTRE SINGAPORE 289876,289876,25870.3018411137,34035.8644314632,1.32408271396251,103.814182099841,103.814182099841,Adam Road Food Centre
0,HONG LIM FOOD CENTRE AND MARKET,531A,UPPER CROSS STREET,HONG LIM FOOD CENTRE AND MARKET,531A UPPER CROSS STREET HONG LIM FOOD CENTRE AND MARKET SINGAPORE 051531,051531,29386.4890156155,29750.0976683833,1.28532379322673,103.845776735598,103.845776735598,Hong Lim Market & Food Centre
0,PCF SPARKLETOTS PRESCHOOL @ MOUNTBATTEN BLK 51 (KN),51,OLD AIRPORT ROAD,PCF SPARKLETOTS PRESCHOOL @ MOUNTBATTEN BLK 51 (KN),51 OLD AIRPORT ROAD PCF SPARKLETOTS PRESCHOOL @ MOUNTBATTEN BLK 51 (KN) SINGAPORE 390051,390051,33833.0903097549,32269.7166850865,1.30810982136012,103.885731681696,103.885731681696,Blk 51 Old Airport Road
0,MARKET & HAWKER CENTRE (BLK 726 CLEMENTI WEST STREET 2),726,CLEMENTI WEST STREET 2,MARKET & HAWKER CENTRE (BLK 726 CLEMENTI WEST STREET 2),726 CLEMENTI WEST STREET 2 MARKET & HAWKER CENTRE (BLK 726 CLEMENTI WEST STREET 2) SINGAPORE 120726,120726,20314.9093598826,31791.2166986521,1.30378203325462,103.764264494394,103.764264494394,Blk 726 Clementi West Street 2
0,MARKET & HAWKER CENTRE (BLK 50A MARINE TERRACE),50A,MARINE TERRACE,MARKET & HAWKER CENTRE (BLK 50A MARINE TERRACE),50A MARINE TERRACE MARKET & HAWKER CENTRE (BLK 50A MARINE TERRACE) SINGAPORE 441050,441050,37175.1947172601,32011.6562145017,1.30577520401237,103.915761992946,103.915761992946,Blk 50A Marine Terrace
0,AMOY STREET FOOD CENTRE,7,MAXWELL ROAD,AMOY STREET FOOD CENTRE,7 MAXWELL ROAD AMOY STREET FOOD CENTRE SINGAPORE 069111,069111,29483.955767219,29088.4261356071,1.27933986365711,103.846652482254,103.846652482254,Amoy Street Food Centre
