,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,WHEE!CANOPUS STUDENT CARE @ LAKESIDE PRIMARY SCHOOL,161,CORPORATION WALK,WHEE!CANOPUS STUDENT CARE @ LAKESIDE PRIMARY SCHOOL,161 CORPORATION WALK WHEE!CANOPUS STUDENT CARE @ LAKESIDE PRIMARY SCHOOL SINGAPORE 618310,618310,15177.0483984314,35616.6021022275,1.33837569571569,103.718096899655,103.718096899655,Lakeside Primary School
1,LAKESIDE PRIMARY SCHOOL,161,CORPORATION WALK,LAKESIDE PRIMARY SCHOOL,161 CORPORATION WALK LAKESIDE PRIMARY SCHOOL SINGAPORE 618310,618310,15171.8889481956,35616.6031616069,1.33837570310393,103.718050539055,103.718050539055,Lakeside Primary School
0,NEW TOWN PRIMARY SCHOOL,300,TANGLIN HALT ROAD,NEW TOWN PRIMARY SCHOOL,300 TANGLIN HALT ROAD NEW TOWN PRIMARY SCHOOL SINGAPORE 148812,148812,24288.024286679,31352.0822832659,1.29981138774553,103.79996481092,103.79996481092,New Town Primary School
0,GUANGYANG PRIMARY SCHOOL,6,BISHAN STREET 12,GUANGYANG PRIMARY SCHOOL,6 BISHAN STREET 12 GUANGYANG PRIMARY SCHOOL SINGAPORE 579806,579806,29776.8599536903,36464.0808871016,1.34604266465632,103.849284759591,103.849284759591,Guangyang Primary School
0,INNOVA PRIMARY SCHOOL,80,WOODLANDS DRIVE 17,INNOVA PRIMARY SCHOOL,80 WOODLANDS DRIVE 17 INNOVA PRIMARY SCHOOL SINGAPORE 737888,737888,23241.2796210172,45657.5319459569,1.42918459185655,103.790557056487,103.790557056487,Innova Primary School
0,PRINCESS ELIZABETH PRIMARY SCHOOL,30,BUKIT BATOK WEST AVENUE 3,PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3 PRINCESS ELIZABETH PRIMARY SCHOOL SINGAPORE 659163,659163,17725.9266880266,36812.7858268302,1.34919451758524,103.740999625133,103.740999625133,Princess Elizabeth Primary School
1,BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL),30,BUKIT BATOK WEST AVENUE 3,BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL),30 BUKIT BATOK WEST AVENUE 3 BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL) SINGAPORE 659163,659163,17694.7193374345,36812.396792436,1.34919098857587,103.740719208011,103.740719208011,Princess Elizabeth Primary School
0,DAZHONG PRIMARY SCHOOL,35,BUKIT BATOK STREET 31,DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441,659441,18523.000199615,37903.5212233271,1.35905899221007,103.748161477711,103.748161477711,Dazhong Primary School
0,PUNGGOL VIEW PRIMARY SCHOOL,9,PUNGGOL PLACE,PUNGGOL VIEW PRIMARY SCHOOL,9 PUNGGOL PLACE PUNGGOL VIEW PRIMARY SCHOOL SINGAPORE 828845,828845,36020.1741489889,43020.2572509032,1.40533331354236,103.905386541875,103.905386541875,Punggol View Primary School
0,LEARNING LEAP PTE LTD (FRONTIER PRIMARY SCHOOL),20,JURONG WEST STREET 61,LEARNING LEAP PTE LTD (FRONTIER PRIMARY SCHOOL),20 JURONG WEST STREET 61 LEARNING LEAP PTE LTD (FRONTIER PRIMARY SCHOOL) SINGAPORE 648200,648200,13127.742393123,35425.1252935641,1.33664311192979,103.699682818103,103.699682818103,Frontier Primary School
1,FRONTIER PRIMARY SCHOOL,20,JURONG WEST STREET 61,FRONTIER PRIMARY SCHOOL,20 JURONG WEST STREET 61 FRONTIER PRIMARY SCHOOL SINGAPORE 648200,648200,13127.7416969594,35425.1264134794,1.33664312205755,103.699682811847,103.699682811847,Frontier Primary School
0,SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL),11,WOODLANDS DRIVE 62,SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL),11 WOODLANDS DRIVE 62 SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL) SINGAPORE 737942,737942,24807.3263021316,46865.6384109538,1.44011048816857,103.804629302637,103.804629302637,Greenwood Primary School
