,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,230 GEYLANG ROAD SINGAPORE 389290,230,GEYLANG ROAD,NIL,230 GEYLANG ROAD SINGAPORE 389290,389290,32904.5916389301,32709.6051062159,1.31208817725993,103.877388748956,103.877388748956,389290
0,BCH@301,301,GEYLANG ROAD,BCH@301,301 GEYLANG ROAD BCH@301 SINGAPORE 389344,389344,33051.1215208843,32779.9149688073,1.31272401096588,103.878705403249,103.878705403249,389344
0,509 BEDOK NORTH STREET 3 SINGAPORE 460509,509,BEDOK NORTH STREET 3,NIL,509 BEDOK NORTH STREET 3 SINGAPORE 460509,460509,38900.4221170712,35041.4975779746,1.33317541870196,103.931265025162,103.931265025162,460509
1,CARING HUT,509,BEDOK NORTH STREET 3,CARING HUT,509 BEDOK NORTH STREET 3 CARING HUT SINGAPORE 460509,460509,38881.0987941222,35029.4511020631,1.33306648174585,103.931091390071,103.931091390071,460509
2,STAR KIDZ POWERCLUB,509,BEDOK NORTH STREET 3,STAR KIDZ POWERCLUB,509 BEDOK NORTH STREET 3 STAR KIDZ POWERCLUB SINGAPORE 460509,460509,38881.0987941222,35029.4511020631,1.33306648174585,103.931091390071,103.931091390071,460509
3,DBS BEDOK NORTH STREET 3,509,BEDOK NORTH STREET 3,DBS BEDOK NORTH STREET 3,509 BEDOK NORTH STREET 3 DBS BEDOK NORTH STREET 3 SINGAPORE 460509,460509,38900.4220868032,35041.4976082426,1.33317541897572,103.93126502489,103.93126502489,460509
4,LITTLE PROFESSORS EDUCATION CENTRE @ BEDOK LLP,509,BEDOK NORTH STREET 3,LITTLE PROFESSORS EDUCATION CENTRE @ BEDOK LLP,509 BEDOK NORTH STREET 3 LITTLE PROFESSORS EDUCATION CENTRE @ BEDOK LLP SINGAPORE 460509,460509,38881.0987941222,35029.4511020631,1.33306648174585,103.931091390071,103.931091390071,460509
0,5 ALJUNIED ROAD SINGAPORE 389797,5,ALJUNIED ROAD,NIL,5 ALJUNIED ROAD SINGAPORE 389797,389797,33404.1768173771,32874.1357213017,1.31357604994102,103.881877795334,103.881877795334,389797
0,SENJA CENTRE,628,SENJA ROAD,SENJA CENTRE,628 SENJA ROAD SENJA CENTRE SINGAPORE 670628,670628,19864.888700936,40782.5221504793,1.38509602416729,103.760218434373,103.760218434373,670628
1,DBS NTUC SENJA ROAD,628,SENJA ROAD,DBS NTUC SENJA ROAD,628 SENJA ROAD DBS NTUC SENJA ROAD SINGAPORE 670628,670628,19864.888700936,40782.5222110152,1.38509602471476,103.760218434373,103.760218434373,670628
